cpu_cores_total,cpu_watts,gpu_cores_total,gpu_vram_total_gb,gpu_watts,ram_total_gb,cpu_cores_used,gpu_cores_used,gpu_vram_used_gb,ram_used_gb,current_cpu_power_w,current_gpu_power_w,req_cpu_cores,req_gpu_cores,req_gpu_vram_gb,req_ram_gb
32,250,4096,48,200,512,20,808,13.2,188.5,156.25,39.45,6,858,8.1,75.8
16,125,4096,48,200,256,11,2192,11.4,15.4,85.94,107.03,2,1221,35.4,42.0
64,250,8192,48,200,512,19,1244,5.3,229.0,74.22,30.37,4,4116,2.5,127.1
16,180,2048,16,450,64,0,292,5.8,39.0,0.0,64.16,2,123,8.0,38.4
8,125,10240,8,350,64,2,2300,1.5,22.6,31.25,78.61,2,2705,4.1,29.8
64,125,2048,24,450,512,11,455,5.3,208.6,21.48,99.98,16,195,6.0,202.2
16,95,10240,16,300,64,1,4896,3.2,2.5,5.94,143.44,2,1056,8.3,15.8
64,95,4096,8,300,256,7,567,1.5,44.2,10.39,41.53,13,787,0.6,59.6
24,125,2048,48,200,128,4,925,7.2,48.3,20.83,90.33,3,301,25.8,21.5
64,250,10240,48,300,512,12,3466,37.2,447.6,46.88,101.54,39,1520,5.3,66.5
64,250,8192,48,350,512,9,3262,4.1,80.6,35.16,139.37,30,2481,7.7,121.4
32,125,10240,16,300,64,21,1719,4.0,54.6,82.03,50.36,3,1795,4.7,9.2
64,250,10240,48,300,512,30,3422,14.7,312.9,117.19,100.25,68,1876,10.1,275.8
24,180,8192,48,350,512,2,1966,9.4,433.6,15.0,84.0,5,476,10.6,214.9
32,250,2048,24,350,64,16,392,15.1,26.2,125.0,66.99,9,287,1.9,9.0
24,95,2048,16,300,64,16,403,4.5,14.1,63.33,59.03,10,287,3.5,6.7
32,250,10240,8,200,128,15,5492,5.5,16.4,117.19,107.27,4,2048,1.2,37.4
64,250,2048,24,450,64,8,552,6.6,25.5,31.25,121.29,19,901,16.4,13.0
16,180,10240,16,450,128,7,5604,4.0,9.0,78.75,246.27,2,1409,4.7,35.7
8,250,10240,24,350,512,4,6466,1.9,42.5,125.0,221.01,2,3221,1.8,151.5
32,180,4096,16,450,512,11,1467,0.4,22.8,61.88,161.17,9,632,3.8,455.9
24,95,8192,16,200,256,6,5788,8.6,58.3,23.75,141.31,7,1035,3.5,175.2
8,125,10240,8,350,128,2,2844,0.8,26.0,31.25,97.21,2,3690,3.9,84.9
32,250,2048,16,350,64,18,713,9.9,0.5,140.62,121.85,5,1191,1.4,4.8
64,180,2048,24,450,512,16,132,4.9,112.1,45.0,29.0,16,482,2.0,85.7
64,125,2048,24,450,512,16,699,3.7,260.2,31.25,153.59,4,1030,5.6,65.4
24,125,2048,8,300,256,0,248,0.8,97.2,0.0,36.33,19,191,1.2,72.2
8,125,8192,8,450,512,0,1673,0.3,92.7,0.0,91.9,5,670,4.5,71.2
24,250,2048,24,300,512,2,1152,4.6,220.7,20.83,168.75,6,194,6.9,214.8
16,180,8192,24,300,128,1,1700,3.8,10.9,11.25,62.26,2,609,1.7,37.6
64,250,8192,48,200,512,14,2111,8.0,72.1,54.69,51.54,52,1714,4.9,105.7
32,125,10240,16,350,256,10,2333,3.4,72.7,39.06,79.74,3,4147,3.4,242.4
16,180,4096,24,200,256,4,428,1.5,105.6,45.0,20.9,1,860,5.2,21.8
32,250,4096,16,350,128,5,1277,3.0,86.9,39.06,109.12,20,1764,3.9,29.6
8,250,10240,24,200,128,2,867,8.9,13.7,62.5,16.93,2,645,1.3,25.5
64,125,10240,48,200,64,21,1398,24.9,11.7,41.02,27.3,18,2723,7.5,6.4
64,95,4096,8,300,256,9,332,1.5,25.8,13.36,24.32,75,617,1.6,118.2
8,95,8192,16,350,512,1,5351,2.9,184.6,11.88,228.62,1,6881,1.3,342.9
24,250,4096,16,300,128,11,3670,2.5,10.4,114.58,268.8,21,1222,1.1,7.2
32,250,10240,24,300,512,5,2401,5.7,92.5,39.06,70.34,3,2772,5.6,83.5
32,250,2048,16,300,128,23,160,10.9,77.1,179.69,23.44,5,565,1.3,7.8
64,95,4096,48,350,512,47,1649,11.0,215.1,69.77,140.91,4,614,30.1,495.0
24,95,8192,48,300,256,1,3217,20.8,67.8,3.96,117.81,3,2120,6.9,29.1
8,95,2048,24,300,64,6,1050,21.0,8.7,71.25,153.81,3,758,2.6,13.5
16,95,8192,24,200,128,3,7488,4.1,64.4,17.81,182.81,4,2023,6.4,26.7
64,95,2048,24,450,64,10,704,9.1,19.6,14.84,154.69,27,243,14.0,52.1
32,125,2048,16,450,512,13,90,1.7,192.8,50.78,19.78,10,108,3.3,93.8
24,250,2048,24,300,64,7,213,5.0,9.2,72.92,31.2,4,175,3.9,5.8
32,250,8192,24,300,64,1,1727,15.8,10.3,7.81,63.24,12,1049,19.4,18.0
8,125,4096,16,200,128,2,892,3.1,42.7,31.25,43.55,9,229,2.5,47.3
8,125,2048,24,300,512,2,513,2.4,219.0,31.25,75.15,5,218,6.9,129.2
32,95,8192,16,300,256,12,1201,5.3,106.6,35.62,43.98,10,3636,2.0,67.9
32,125,2048,8,450,256,10,558,2.4,37.5,39.06,122.61,4,1173,0.5,65.6
32,250,2048,16,450,64,19,1472,10.4,16.8,148.44,323.44,10,2280,5.7,8.3
32,180,4096,48,450,256,27,2432,6.5,1.6,151.88,267.19,2,3071,9.9,143.5
32,250,10240,8,200,128,5,7639,3.2,24.8,39.06,149.2,8,6040,2.6,18.0
24,250,10240,24,350,64,4,6988,1.2,26.7,41.67,238.85,6,2786,3.5,71.6
24,180,2048,8,300,64,8,536,0.7,25.5,60.0,78.52,12,1638,2.2,32.0
24,125,10240,24,350,128,6,1346,6.3,98.7,31.25,46.01,8,6548,4.3,116.3
16,180,10240,16,350,128,9,3575,3.7,33.3,101.25,122.19,12,2950,4.2,24.5
24,125,8192,24,450,64,14,1611,2.0,35.7,72.92,88.49,8,450,2.7,39.1
8,250,2048,8,350,128,0,904,1.8,43.5,0.0,154.49,2,2258,6.2,25.1
64,95,8192,8,300,128,28,2145,6.8,48.9,41.56,78.55,5,3854,0.4,15.5
32,250,8192,8,450,256,18,3295,6.0,134.8,140.62,181.0,17,1221,2.3,13.8
8,125,8192,8,450,512,5,3969,3.1,48.8,78.12,218.02,1,674,2.4,58.0
64,95,2048,8,300,512,7,770,4.5,47.4,10.39,112.79,24,574,0.5,101.7
24,250,2048,24,300,512,20,346,11.9,214.2,208.33,50.68,23,499,6.3,76.0
16,250,2048,24,200,256,4,1805,3.4,49.9,62.5,176.27,16,320,6.1,62.3
64,250,10240,48,300,512,29,1925,5.5,317.6,113.28,56.4,5,6067,31.2,242.0
32,180,8192,48,200,128,19,828,16.2,70.0,106.88,20.21,4,2161,4.4,38.1
16,95,4096,24,300,128,3,1212,6.0,33.1,17.81,88.77,3,920,11.6,10.6
24,95,4096,48,200,128,15,2241,36.0,9.4,59.38,109.42,7,2017,54.6,8.6
64,250,8192,24,200,512,29,1945,4.1,124.0,113.28,47.49,14,1450,7.4,47.8
32,250,4096,16,350,128,11,684,1.3,54.4,85.94,58.45,10,2496,2.8,60.1
24,95,2048,16,200,256,5,396,6.9,104.5,19.79,38.67,8,319,1.4,69.5
32,250,8192,24,300,64,4,1597,7.3,17.0,31.25,58.48,10,2792,4.8,12.0
64,95,4096,8,350,128,31,1439,3.6,9.2,46.02,122.96,15,831,1.9,16.4
16,125,8192,24,300,256,3,1363,21.1,49.9,23.44,49.91,7,1816,4.2,61.6
32,250,4096,16,350,128,19,227,2.8,71.9,148.44,19.4,22,739,7.2,15.7
64,250,2048,24,450,64,24,266,20.1,8.9,93.75,58.45,14,2422,4.9,19.2
8,180,4096,16,350,512,0,618,3.2,242.8,0.0,52.81,2,4833,17.8,52.5
16,250,2048,16,200,128,3,1330,11.5,38.9,46.88,129.88,5,1844,1.9,13.4
32,95,8192,16,300,256,13,2994,1.8,112.9,38.59,109.64,9,2592,11.0,89.1
8,250,2048,8,200,64,4,891,2.1,20.0,125.0,87.01,3,583,0.9,61.8
8,180,4096,16,350,512,0,1521,8.4,77.0,0.0,129.97,2,468,11.9,99.4
32,250,10240,24,300,512,3,3214,18.8,244.2,23.44,94.16,14,10915,6.4,96.4
8,250,4096,16,200,64,1,1261,1.1,40.4,31.25,61.57,2,577,3.5,62.4
64,125,10240,48,200,64,37,4361,20.8,24.4,72.27,85.18,20,2261,3.0,14.3
8,95,2048,24,300,64,0,361,9.6,28.7,0.0,52.88,2,1399,4.2,14.4
16,125,8192,24,300,256,6,3991,5.4,78.7,46.88,146.15,4,1779,1.9,45.3
64,180,10240,16,300,64,15,5317,4.2,3.1,42.19,155.77,37,3325,11.6,38.2
64,95,4096,8,300,128,26,1473,0.5,8.6,38.59,107.89,7,705,1.5,66.2
64,125,8192,16,300,512,18,1437,1.3,81.3,35.16,52.62,18,2379,14.7,132.5
8,125,8192,8,450,512,0,5199,0.7,114.4,0.0,285.59,2,625,1.1,114.2
24,250,2048,48,200,64,3,556,25.4,55.8,31.25,54.3,5,270,10.8,15.0
32,250,10240,8,350,512,3,3868,1.3,122.6,23.44,132.21,18,3772,0.7,374.4
64,125,4096,16,300,128,8,1068,5.8,37.7,15.62,78.22,17,1473,17.5,11.7
32,180,8192,48,200,128,12,2667,17.0,18.4,67.5,65.11,8,2979,13.0,7.5
24,95,8192,48,200,64,9,1018,9.2,19.4,35.62,24.85,2,2528,3.0,19.3
8,125,2048,24,300,512,1,1141,14.6,201.8,15.62,167.14,1,246,6.9,201.4
32,125,10240,16,450,256,16,731,4.1,115.0,62.5,32.12,4,10161,1.9,75.9
24,180,10240,24,450,64,21,1446,7.5,3.1,157.5,63.54,8,2681,5.4,8.8
64,180,10240,8,350,512,15,939,5.5,197.1,42.19,32.09,13,7141,2.2,167.5
16,95,2048,48,450,256,1,619,20.3,114.6,5.94,136.01,3,688,16.8,76.4
16,125,4096,48,200,256,9,308,11.0,55.4,70.31,15.04,2,3523,10.5,27.4
32,250,2048,24,350,64,7,588,0.5,6.2,54.69,100.49,4,274,2.1,69.5
32,180,4096,48,450,256,4,853,12.0,29.7,22.5,93.71,9,4597,18.2,50.9
24,180,2048,24,300,64,5,558,1.4,29.9,37.5,81.74,5,152,6.3,27.1
32,125,8192,48,200,128,0,1153,24.2,15.3,0.0,28.15,18,2444,7.4,108.1
16,250,2048,24,350,64,4,337,1.9,24.0,62.5,57.59,5,296,3.2,6.8
24,125,4096,8,350,64,4,1050,2.7,32.4,20.83,89.72,12,376,1.9,14.4
16,180,10240,8,300,512,9,678,3.2,155.6,101.25,19.86,4,1716,0.9,41.8
24,125,4096,8,350,64,3,812,2.7,11.6,15.62,69.38,4,1621,0.8,13.1
32,250,10240,24,300,512,1,8326,9.6,151.5,7.81,243.93,10,1531,18.1,156.0
8,180,2048,16,450,64,3,879,2.1,19.2,67.5,193.14,7,2270,9.1,58.9
16,95,2048,48,450,256,7,244,13.6,37.2,41.56,53.61,4,324,7.7,122.2
32,125,4096,24,300,64,7,549,8.0,25.0,27.34,40.21,4,685,6.5,6.9
32,125,2048,16,450,512,13,243,11.9,484.8,50.78,53.39,4,568,7.7,371.9
32,180,8192,48,200,128,7,1887,16.7,8.5,39.38,46.07,12,2187,8.8,68.0
32,250,8192,24,300,64,16,1467,4.2,7.6,125.0,53.72,8,5061,3.8,18.6
24,125,2048,24,300,512,14,727,5.4,79.4,72.92,106.49,5,225,3.6,75.6
64,95,4096,48,350,512,9,1380,6.2,138.8,13.36,117.92,15,556,11.0,146.9
32,250,2048,16,450,64,28,426,4.8,31.5,218.75,93.6,5,776,0.9,40.2
8,95,4096,48,200,512,0,2573,13.9,66.4,0.0,125.63,2,1034,48.7,75.5
32,125,10240,16,300,64,8,2368,5.5,23.1,31.25,69.38,5,892,5.2,17.0
24,95,8192,48,300,256,4,1492,17.0,235.8,15.83,54.64,25,2396,27.3,45.6
8,125,10240,24,300,256,0,2635,17.0,116.8,0.0,77.2,3,948,2.1,94.8
32,180,8192,24,350,512,10,1733,2.0,239.3,56.25,74.04,7,1975,17.3,44.2
8,180,2048,16,450,64,2,373,2.8,22.4,45.0,81.96,2,288,1.5,5.5
24,250,2048,48,200,64,7,1347,25.4,21.8,72.92,131.54,5,322,39.3,76.6
8,95,2048,24,300,64,1,356,5.8,24.3,11.88,52.15,4,880,3.5,12.6
16,250,8192,16,350,256,6,2842,7.4,134.6,93.75,121.42,4,2010,18.8,74.6
24,250,2048,8,300,128,6,1695,1.5,77.6,62.5,248.29,4,1141,0.9,11.6
8,125,8192,48,300,512,0,2268,14.8,193.0,0.0,83.06,1,1911,5.0,102.0
16,95,4096,24,450,256,7,2302,6.5,37.4,41.56,252.91,15,442,5.6,28.3
16,180,4096,16,350,64,5,741,6.4,10.2,56.25,63.32,4,936,3.4,6.1
32,250,4096,16,350,128,18,1042,2.0,12.2,140.62,89.04,7,1164,1.1,25.8
8,250,2048,48,300,256,1,368,23.9,11.7,31.25,53.91,1,412,26.6,16.6
32,180,4096,8,300,256,11,781,2.2,140.7,61.88,57.2,28,2350,0.7,93.0
8,95,8192,48,350,512,0,2864,4.7,426.6,0.0,122.36,2,1413,8.6,61.6
32,125,2048,24,350,256,5,399,10.5,125.6,19.53,68.19,6,460,6.5,71.9
32,180,10240,24,200,128,26,7707,2.7,28.3,146.25,150.53,9,2436,12.4,29.4
8,180,8192,48,450,128,1,1766,19.5,77.9,22.5,97.01,6,2194,7.6,36.3
24,95,4096,16,300,64,7,2171,14.4,13.9,27.71,159.01,3,4502,2.0,9.7
32,125,2048,24,350,64,2,493,2.3,6.6,7.81,84.25,8,361,3.2,39.2
32,95,10240,24,300,64,6,8145,7.2,15.3,17.81,238.62,8,604,2.4,18.4
16,180,4096,16,350,64,2,792,4.9,9.8,22.5,67.68,3,4028,4.5,6.1
24,180,8192,48,350,512,5,3540,16.7,297.4,37.5,151.25,10,722,13.2,28.7
64,125,10240,24,300,128,22,1586,10.3,63.6,42.97,46.46,8,2536,2.7,78.6
24,250,4096,16,300,128,8,486,4.1,30.9,83.33,35.6,18,267,3.2,24.7
64,95,4096,16,300,128,21,1324,2.1,50.7,31.17,96.97,12,3483,2.4,143.7
32,125,10240,16,300,64,6,7559,2.1,22.4,23.44,221.46,8,7344,1.7,10.0
8,250,4096,16,200,64,2,661,3.9,21.4,62.5,32.28,1,911,2.4,17.5
16,250,2048,48,350,256,11,175,26.5,44.6,171.88,29.91,4,2231,9.7,188.6
64,95,10240,24,200,512,14,385,1.9,177.5,20.78,7.52,6,1135,6.4,125.7
24,95,8192,48,200,64,5,3473,1.8,16.1,19.79,84.79,3,1880,11.3,27.9
16,95,4096,24,300,128,9,1752,5.8,43.5,53.44,128.32,4,1795,1.9,96.6
64,125,10240,48,200,512,42,2914,10.1,139.2,82.03,56.91,21,1039,17.3,106.1
16,95,8192,48,200,128,6,1194,7.6,10.4,35.62,29.15,2,1953,14.1,17.7
24,95,4096,8,450,128,11,1115,2.1,6.5,43.54,122.5,24,735,1.7,13.3
32,250,4096,16,200,256,7,1963,9.7,49.9,54.69,95.85,12,1251,1.8,78.4
24,125,8192,24,450,64,2,3924,7.3,6.5,10.42,215.55,8,1566,1.2,52.5
32,125,8192,24,300,256,15,1469,1.9,76.5,58.59,53.8,26,1060,5.3,62.6
24,125,8192,24,350,64,3,2878,18.7,14.5,15.62,122.96,2,4756,1.9,4.2
64,180,10240,8,350,512,20,7108,6.0,256.1,56.25,242.95,8,1284,1.7,91.0
32,180,10240,8,200,128,8,791,3.0,34.5,45.0,15.45,11,2855,1.2,13.2
32,180,10240,8,200,128,1,2565,3.9,39.9,5.62,50.1,31,1391,7.5,37.4
32,250,2048,24,350,64,1,242,5.0,47.7,7.81,41.36,5,207,2.0,34.1
32,250,4096,16,350,128,21,1686,1.9,15.8,164.06,144.07,3,1099,1.4,38.1
16,180,4096,48,200,128,8,447,9.8,18.8,90.0,21.83,3,2065,12.6,9.7
64,250,8192,48,200,512,35,1209,2.3,107.9,136.72,29.52,18,2412,5.6,128.5
24,250,2048,8,350,256,2,549,5.0,50.6,20.83,93.82,4,886,2.3,47.4
32,250,10240,8,350,512,5,1449,0.7,146.8,39.06,49.53,5,4479,1.6,79.7
8,180,8192,8,350,64,0,2000,0.8,30.7,0.0,85.45,6,1878,2.2,5.8
24,125,10240,48,350,512,7,4955,5.2,342.7,36.46,169.36,3,1366,13.8,103.4
32,95,4096,8,450,512,2,1622,4.3,165.4,5.94,178.2,4,234,3.4,91.2
32,250,2048,16,450,64,2,32,5.9,54.6,15.62,7.03,25,410,14.3,5.6
32,250,8192,8,450,256,10,792,3.0,47.2,78.12,43.51,33,1635,1.8,68.8
