cpu_cores_total,cpu_watts,gpu_cores_total,gpu_vram_total_gb,gpu_watts,ram_total_gb,cpu_cores_used,gpu_cores_used,gpu_vram_used_gb,ram_used_gb,current_cpu_power_w,current_gpu_power_w,req_cpu_cores,req_gpu_cores,req_gpu_vram_gb,req_ram_gb,execution_time,sla_violation
32,250,10240,8,200,128,16,968,5.4,54.3,125.0,18.91,7,931,0.7,26.2,2.8,0
16,95,8192,24,200,128,5,2480,12.9,58.2,29.69,60.55,4,2167,6.0,36.6,0.15,0
24,95,8192,8,350,256,13,961,2.3,24.8,51.46,41.06,7,482,2.1,46.1,15.74,0
32,180,8192,48,200,128,14,2527,16.5,34.5,78.75,61.69,9,767,10.4,36.4,11.37,0
32,95,4096,48,200,64,17,2821,9.1,18.3,50.47,137.74,13,621,9.6,8.4,2.29,0
24,250,2048,8,300,128,9,412,2.1,52.7,93.75,60.35,4,521,3.4,38.2,13.37,0
32,125,2048,8,450,256,3,218,2.2,42.7,11.72,47.9,8,123,5.1,122.2,11.3,0
32,180,4096,48,300,128,13,2073,6.6,72.9,73.12,151.83,6,271,9.4,25.1,11.07,0
24,250,2048,8,350,256,4,47,3.3,25.5,41.67,8.03,5,492,2.4,44.7,6.08,0
32,250,4096,16,350,128,13,1420,9.3,23.1,101.56,121.34,9,320,5.6,31.3,4.29,0
8,125,10240,8,350,64,3,4552,2.4,7.8,46.88,155.59,1,878,1.0,12.8,4.68,0
64,125,4096,16,300,128,34,676,2.7,24.3,66.41,49.51,10,1341,10.5,36.6,1.17,0
32,95,2048,48,450,128,3,289,8.7,34.1,8.91,63.5,4,1196,13.9,18.7,5.87,0
64,180,8192,48,200,128,7,2032,32.6,34.0,19.69,49.61,17,1400,3.5,20.9,13.24,0
24,95,2048,16,300,64,7,452,3.3,3.6,27.71,66.21,5,1438,4.5,3.9,11.14,0
64,180,8192,48,200,128,27,5251,4.5,102.5,75.94,128.2,17,500,40.2,13.1,13.29,0
8,250,10240,24,200,128,4,1804,7.6,59.0,125.0,35.23,1,1679,11.2,22.0,16.28,0
16,180,4096,48,200,128,6,927,10.0,14.0,67.5,45.26,5,240,21.6,14.6,3.34,0
64,95,4096,48,350,512,14,1116,10.3,14.9,20.78,95.36,4,2632,17.6,352.6,0.45,0
64,250,10240,8,300,128,7,2939,1.8,27.2,27.34,86.1,7,675,1.9,37.0,3.05,0
8,180,8192,48,450,128,1,2948,22.5,19.1,22.5,161.94,1,1783,4.9,20.8,13.93,0
16,125,4096,48,350,64,4,842,15.2,37.9,31.25,71.95,4,1084,5.6,16.2,7.62,0
8,125,8192,24,300,512,2,2936,6.2,153.3,31.25,107.52,2,1044,16.3,110.8,6.03,0
8,180,4096,16,350,512,0,404,4.9,54.1,0.0,34.52,5,768,6.4,143.1,12.61,0
64,125,8192,24,200,512,32,1031,8.9,333.8,62.5,25.17,5,867,2.5,95.7,1.75,0
32,180,4096,16,450,512,9,1582,4.4,89.5,50.62,173.8,5,370,4.4,27.1,15.58,0
32,180,8192,24,350,512,6,718,4.3,93.4,33.75,30.68,13,1987,5.0,122.9,1.93,0
8,250,2048,48,300,256,3,348,9.2,57.9,93.75,50.98,2,297,13.6,177.5,18.05,0
16,180,2048,8,300,64,4,319,0.9,10.2,45.0,46.73,2,596,5.5,20.9,9.12,0
32,250,4096,48,200,512,15,861,1.0,229.7,117.19,42.04,3,2698,4.9,76.1,6.12,0
64,125,8192,16,300,512,3,1416,0.3,196.4,5.86,51.86,13,2088,3.2,93.2,11.58,0
8,250,2048,48,300,256,0,376,11.3,124.2,0.0,55.08,3,402,4.8,52.0,17.13,0
24,95,8192,16,450,64,20,2278,4.0,6.0,79.17,125.13,2,476,1.0,43.7,15.17,0
64,250,10240,8,300,128,24,4251,0.7,5.8,93.75,124.54,8,2531,0.5,72.8,14.39,0
32,125,8192,16,300,64,7,1414,5.2,23.2,27.34,51.78,4,1516,7.8,17.0,8.64,0
24,125,8192,24,350,64,9,759,2.7,17.4,46.88,32.43,5,573,5.1,11.8,12.55,0
64,95,4096,8,300,256,8,731,5.5,66.2,11.88,53.54,16,517,0.8,40.0,13.0,0
16,180,2048,8,300,64,8,1042,2.1,34.5,90.0,152.64,3,405,0.6,15.2,1.69,0
24,250,2048,8,450,64,4,835,1.8,29.5,41.67,183.47,2,204,2.2,20.9,9.88,0
24,95,8192,24,350,64,6,3158,13.8,26.0,23.75,134.92,4,917,3.7,30.2,2.89,0
16,180,8192,24,300,128,4,2129,9.3,23.1,45.0,77.97,1,1818,9.7,7.7,18.5,0
8,180,4096,16,350,512,5,287,4.1,82.4,112.5,24.52,1,1679,1.8,234.2,6.94,0
64,125,10240,48,200,512,8,2323,23.7,120.3,15.62,45.37,6,4224,7.8,96.2,11.82,0
24,125,10240,24,200,256,4,4789,9.7,26.5,20.83,93.54,8,668,11.9,20.0,19.17,0
64,95,4096,8,300,128,7,524,5.0,46.9,10.39,38.38,10,2322,1.5,13.1,18.76,0
24,95,2048,8,200,64,7,383,1.5,4.0,27.71,37.4,6,1311,0.6,7.9,11.43,0
8,250,2048,8,200,64,3,1108,5.0,15.2,93.75,108.2,2,545,2.5,38.4,9.47,0
8,95,10240,16,350,128,1,900,2.2,71.2,11.88,30.76,2,2516,4.4,10.6,5.34,0
32,250,2048,24,350,64,6,714,6.1,6.9,46.88,122.02,3,140,5.2,17.4,6.63,0
8,125,10240,8,350,128,5,4074,2.7,31.9,78.12,139.25,2,3648,1.5,16.3,10.41,0
24,125,10240,48,200,128,8,2288,8.0,25.0,41.67,44.69,6,1870,2.9,33.7,8.78,0
32,125,10240,16,350,256,2,265,4.8,33.2,7.81,9.06,8,535,4.1,51.8,0.43,0
24,180,2048,8,300,64,3,157,1.9,2.3,22.5,23.0,3,443,0.6,12.6,17.92,0
32,125,4096,24,300,64,7,829,3.8,25.7,27.34,60.72,8,1061,2.8,8.6,2.8,0
64,125,10240,48,200,64,13,989,13.1,5.9,25.39,19.32,10,1514,6.0,10.4,11.08,0
8,250,8192,8,300,256,0,2604,2.2,60.5,0.0,95.36,5,4704,0.5,52.7,2.17,0
24,250,2048,8,300,128,15,299,0.4,35.8,156.25,43.8,3,433,4.5,23.0,13.19,0
64,180,2048,24,450,512,16,820,10.0,50.6,45.0,180.18,12,127,4.8,30.4,4.6,0
16,180,10240,16,450,128,3,2524,0.9,44.9,33.75,110.92,2,1025,1.6,34.4,0.75,0
24,250,2048,8,350,256,3,944,3.0,79.1,31.25,161.33,4,653,1.2,20.6,11.1,0
64,125,4096,16,300,128,20,697,4.0,24.9,39.06,51.05,11,1904,3.1,23.2,16.6,0
24,95,4096,8,450,128,4,833,2.9,3.1,15.83,91.52,9,305,0.4,28.9,6.34,0
16,180,10240,16,350,128,4,1957,3.7,39.6,45.0,66.89,3,2596,2.1,79.5,10.3,0
16,125,8192,16,200,512,1,617,6.5,320.3,7.81,15.06,1,546,4.7,97.8,5.12,0
32,250,2048,16,450,64,4,1017,5.3,19.0,31.25,223.46,6,237,2.9,25.4,3.29,0
32,250,4096,16,350,64,18,1165,3.6,14.4,140.62,99.55,8,2061,1.2,43.6,0.9,0
32,95,2048,24,200,64,8,174,13.1,10.9,23.75,16.99,2,168,3.8,6.5,19.85,0
24,95,8192,8,350,256,6,1525,2.0,87.6,23.75,65.16,7,1424,2.3,49.6,17.82,0
8,180,8192,8,200,128,5,628,2.9,62.8,112.5,15.33,2,864,1.0,16.3,17.87,0
16,250,10240,8,300,256,3,5231,2.3,111.7,46.88,153.25,5,2028,1.2,73.6,6.32,0
32,125,10240,24,200,256,5,354,14.7,156.1,19.53,6.91,4,7900,3.8,26.6,15.44,0
24,95,8192,24,350,64,4,4950,2.9,1.0,15.83,211.49,3,2283,2.8,23.0,7.47,0
24,95,8192,8,300,64,2,3839,0.8,24.1,7.92,140.59,7,1259,0.6,7.0,5.25,0
8,95,2048,24,300,64,1,622,5.4,21.3,11.88,91.11,2,359,7.1,7.1,2.46,0
64,180,2048,24,450,512,6,803,14.9,156.3,16.88,176.44,11,896,4.2,150.2,3.07,0
32,250,4096,16,350,128,2,367,7.4,44.6,15.62,31.36,6,1563,4.4,20.9,3.59,0
64,250,4096,24,450,128,33,1772,3.7,52.6,128.91,194.68,10,1745,6.2,14.3,11.99,0
32,125,10240,24,200,256,8,1701,4.2,87.7,31.25,33.22,9,3066,6.7,75.4,3.93,0
8,250,2048,8,200,64,0,648,0.8,8.5,0.0,63.28,2,362,1.0,11.1,6.21,0
32,95,2048,48,450,128,21,380,3.0,32.3,62.34,83.5,5,1439,6.5,30.3,15.55,0
24,180,8192,48,350,512,1,3290,5.9,92.8,7.5,140.56,7,1679,36.0,129.1,0.28,0
24,250,2048,8,300,128,4,170,5.4,43.3,41.67,24.9,8,389,1.9,18.3,2.64,0
64,125,8192,24,200,512,4,658,3.7,106.4,7.81,16.06,50,5227,1.4,69.4,13.55,0
16,250,8192,16,350,256,3,2935,5.6,20.6,46.88,125.4,3,3192,0.9,70.2,10.13,0
32,250,8192,8,450,256,14,2102,1.0,103.3,109.38,115.47,7,912,2.4,64.2,11.62,0
8,180,8192,48,450,128,2,4581,10.3,66.5,45.0,251.64,3,1973,8.3,28.6,16.08,0
32,180,4096,16,450,512,4,195,1.4,308.7,22.5,21.42,10,333,12.2,108.6,2.62,0
16,180,2048,8,300,64,9,785,1.1,19.6,101.25,114.99,2,468,2.3,21.7,18.55,0
8,125,10240,8,350,64,2,4908,1.3,17.2,31.25,167.75,3,2715,1.0,13.7,5.73,0
16,180,10240,16,350,128,1,4345,12.9,47.5,11.25,148.51,4,659,1.1,21.8,18.5,0
32,250,2048,16,300,128,4,241,4.6,6.1,31.25,35.3,2,279,4.3,52.6,2.12,0
64,125,10240,24,300,128,7,5820,11.0,23.7,13.67,170.51,12,1980,3.6,39.4,11.92,0
32,250,4096,16,200,256,17,687,6.2,87.4,132.81,33.54,7,930,1.3,38.7,18.66,0
8,250,2048,48,200,512,1,748,19.5,36.4,31.25,73.05,3,341,8.5,81.1,16.09,0
16,180,10240,16,450,128,4,2635,2.4,14.0,45.0,115.8,8,7065,4.4,25.6,9.35,0
16,250,2048,24,350,64,5,471,1.2,7.5,78.12,80.49,3,120,9.6,6.3,0.36,0
24,95,8192,8,350,256,1,1351,1.6,86.7,3.96,57.72,5,633,2.4,15.2,15.94,0
32,125,4096,24,300,64,11,1420,5.1,21.7,42.97,104.0,8,1816,6.0,11.6,4.65,0
32,125,10240,24,200,256,7,1988,6.0,39.0,27.34,38.83,5,1132,5.0,19.5,10.62,0
16,250,2048,48,300,512,4,854,13.3,46.3,62.5,125.1,2,297,18.7,114.6,17.35,0
32,125,4096,8,350,128,13,1728,1.5,39.1,50.78,147.66,4,633,5.4,10.1,8.25,0
32,180,10240,24,200,128,5,2463,7.5,25.0,28.12,48.11,8,4429,1.4,29.3,7.48,0
24,180,10240,24,450,64,9,3644,2.2,33.1,67.5,160.14,5,2252,5.4,8.0,8.52,0
8,95,4096,48,200,512,1,679,31.7,139.6,11.88,33.15,6,1551,2.7,32.1,17.35,0
64,250,8192,48,200,512,6,1582,14.8,141.7,23.44,38.62,17,2147,7.9,127.9,9.08,0
64,95,10240,24,200,512,13,1978,4.9,35.7,19.3,38.63,32,651,2.2,204.1,4.73,0
64,180,10240,16,300,256,9,2840,6.0,44.4,25.31,83.2,18,2695,4.6,22.7,2.11,0
24,250,2048,24,300,64,3,343,7.0,18.1,31.25,50.24,4,136,1.5,7.1,1.33,0
8,250,8192,48,200,128,0,4161,14.1,15.8,0.0,101.59,2,2629,15.6,29.7,18.42,0
8,125,10240,16,200,64,1,971,3.6,19.7,15.62,18.96,2,2632,4.7,5.6,3.31,0
32,125,2048,8,450,256,10,735,0.4,83.8,39.06,161.5,6,859,1.8,153.6,3.49,0
8,250,8192,48,200,128,0,1968,12.3,23.4,0.0,48.05,3,1062,9.0,28.0,11.82,0
32,125,10240,16,300,64,11,6356,1.6,17.4,42.97,186.21,10,2662,12.6,38.1,10.09,0
8,250,10240,24,350,512,0,2510,4.0,191.5,0.0,85.79,4,3040,17.9,66.6,17.5,0
16,125,4096,48,350,64,3,1281,18.8,4.4,23.44,109.46,10,1042,9.3,11.7,3.63,0
32,125,4096,24,450,64,1,2227,3.9,6.7,3.91,244.67,14,724,3.7,15.9,4.73,0
24,95,4096,8,450,128,4,499,2.3,31.2,15.83,54.82,4,448,3.2,31.0,11.42,0
8,250,2048,24,200,512,2,300,4.2,245.5,62.5,29.3,3,516,6.3,145.0,8.33,0
8,125,8192,8,450,512,2,1192,5.2,82.2,31.25,65.48,2,1642,0.7,231.2,10.48,0
24,125,2048,48,200,128,10,878,13.9,25.4,52.08,85.74,7,626,11.7,6.5,16.67,0
24,95,8192,16,200,256,5,2083,5.5,16.0,19.79,50.85,2,2008,9.7,213.4,1.04,0
32,180,4096,8,300,256,8,608,3.2,63.9,45.0,44.53,6,463,1.9,77.1,16.87,0
32,95,4096,8,450,512,13,1201,1.5,114.2,38.59,131.95,9,764,1.1,39.1,18.05,0
32,125,2048,24,350,64,5,524,7.5,10.2,19.53,89.55,4,317,2.4,4.4,19.59,0
32,250,4096,48,200,512,2,1152,10.7,107.9,15.62,56.25,15,800,3.7,270.2,15.58,0
24,95,2048,16,200,256,0,621,3.8,144.2,0.0,60.64,17,483,10.6,74.1,10.72,0
8,125,4096,48,450,64,6,3029,22.1,11.6,93.75,332.78,1,214,5.8,20.0,10.28,0
8,125,10240,8,200,64,1,5888,0.9,28.8,15.62,115.0,1,610,0.9,12.9,17.15,0
24,180,2048,8,300,64,2,394,4.2,20.1,15.0,57.71,7,190,1.1,16.4,5.33,0
64,125,10240,48,200,64,25,946,11.1,28.3,48.83,18.48,12,1512,8.6,16.7,4.65,0
24,95,2048,8,200,64,10,607,1.7,23.4,39.58,59.28,6,217,2.3,7.7,7.59,0
24,180,2048,8,300,64,4,681,2.1,24.6,30.0,99.76,15,435,1.7,9.1,13.71,0
24,95,8192,8,350,256,4,1796,1.9,200.9,15.83,76.73,2,1759,1.9,22.3,18.33,0
32,125,8192,16,300,64,4,649,6.1,25.0,15.62,23.77,10,778,2.9,30.8,10.71,0
8,250,2048,48,300,256,1,1234,8.8,34.5,31.25,180.76,1,494,16.0,63.7,10.65,0
32,180,8192,48,200,128,7,2715,4.4,76.5,39.38,66.28,7,1350,3.3,30.2,12.66,0
16,250,2048,48,300,512,7,224,13.8,41.6,109.38,32.81,4,1296,24.7,183.4,4.05,0
8,180,8192,48,450,128,3,1297,13.3,11.2,67.5,71.25,1,3386,19.8,12.4,13.9,0
16,180,10240,16,350,128,3,391,5.6,31.0,33.75,13.36,2,1818,8.5,28.2,2.64,0
32,125,2048,16,450,512,4,861,1.7,191.0,15.62,189.18,15,270,2.9,246.7,1.9,0
8,95,4096,48,200,512,1,1194,18.6,256.6,11.88,58.3,3,977,13.5,146.9,2.75,0
8,250,10240,24,200,128,1,999,0.8,68.5,31.25,19.51,1,3035,2.6,31.4,16.02,0
8,95,2048,24,300,64,5,738,11.2,11.2,59.38,108.11,2,185,5.7,10.7,15.65,0
24,125,2048,8,300,512,4,389,0.6,161.8,20.83,56.98,3,290,0.9,80.7,15.9,0
16,180,4096,16,350,64,2,840,4.4,18.5,22.5,71.78,10,224,1.8,7.2,1.9,0
8,250,10240,24,200,128,1,704,11.2,30.1,31.25,13.75,3,2509,6.1,17.6,12.32,0
8,125,8192,48,300,512,1,984,31.5,149.4,15.62,36.04,6,4089,3.1,44.9,3.43,0
8,250,2048,24,200,512,1,746,7.1,127.0,31.25,72.85,1,954,2.1,82.8,11.3,0
32,250,4096,16,350,64,8,1391,2.0,30.1,62.5,118.86,5,1204,0.9,18.9,9.32,0
16,125,4096,48,350,64,1,2479,18.0,22.6,7.81,211.83,13,871,7.7,17.6,9.84,0
16,250,8192,16,350,256,4,3710,1.4,96.5,62.5,158.51,5,990,1.6,41.2,11.99,0
16,180,10240,16,450,128,7,2718,4.6,34.2,78.75,119.44,1,1132,1.6,73.4,13.16,0
32,250,8192,48,200,256,6,5127,16.0,22.6,46.88,125.17,8,1417,5.2,97.1,15.49,0
16,180,4096,16,350,64,2,765,10.8,5.2,22.5,65.37,5,515,2.7,8.7,13.42,0
16,95,4096,24,300,128,2,1632,2.9,53.6,11.88,119.53,4,270,12.1,7.0,6.67,0
64,250,4096,24,450,128,8,715,14.9,23.9,31.25,78.55,43,1098,6.1,47.9,7.28,0
24,180,2048,24,300,64,10,625,2.3,4.3,75.0,91.55,5,357,2.8,8.8,3.15,0
8,180,8192,8,350,64,0,1649,2.3,11.5,0.0,70.45,2,534,0.7,19.4,2.96,0
16,250,2048,24,200,256,2,252,13.5,106.6,31.25,24.61,5,324,6.8,60.6,7.67,0
16,125,4096,48,200,256,2,465,29.1,60.7,15.62,22.71,10,470,7.1,72.7,11.06,0
24,95,4096,48,200,128,8,596,21.4,28.8,31.67,29.1,6,1167,15.2,17.0,9.59,0
16,125,4096,48,350,64,4,2760,6.7,40.9,31.25,235.84,2,642,9.1,16.7,7.53,0
16,250,2048,24,350,64,9,794,1.3,49.2,140.62,135.69,4,181,2.8,6.8,19.73,0
16,180,4096,24,200,256,4,474,12.2,85.7,45.0,23.14,2,608,3.3,16.8,14.36,0
64,180,10240,16,300,256,12,3459,5.7,68.4,33.75,101.34,27,839,1.8,53.6,19.02,0
32,250,2048,8,300,256,10,574,1.3,80.3,78.12,84.08,8,560,1.0,64.4,2.37,0
32,250,10240,8,200,128,7,3062,0.6,32.3,54.69,59.8,13,2245,6.5,27.5,17.01,0
32,250,10240,24,300,512,18,114,10.6,74.4,140.62,3.34,7,4967,2.7,33.2,11.77,0
24,250,2048,8,450,64,7,1000,1.7,3.8,72.92,219.73,3,556,2.4,16.2,0.25,0
24,95,4096,8,450,128,4,508,0.7,8.9,15.83,55.81,6,1116,0.9,63.6,16.51,0
16,250,10240,8,300,256,4,1318,1.3,88.4,62.5,38.61,5,8182,1.6,51.4,5.91,0
32,180,8192,24,350,512,8,1913,3.6,157.7,45.0,81.73,2,2485,11.0,117.9,15.63,0
64,180,10240,16,300,64,9,5469,6.6,15.0,25.31,160.22,8,4006,1.7,12.4,19.94,0
32,95,4096,48,200,64,16,774,11.3,10.5,47.5,37.79,3,829,11.9,9.8,17.58,0
24,250,2048,48,200,64,3,201,16.4,23.3,31.25,19.63,16,470,6.7,5.2,5.68,0
16,125,4096,16,450,64,9,1267,6.6,20.9,70.31,139.2,3,558,5.9,14.8,2.13,0
16,180,4096,16,350,64,5,1609,2.7,36.3,56.25,137.49,3,996,10.3,13.8,19.98,0
24,250,2048,24,300,64,0,385,5.8,18.7,0.0,56.4,5,935,5.0,34.3,13.0,0
32,125,10240,16,350,256,2,1598,6.0,72.6,7.81,54.62,7,2363,3.4,69.2,17.94,0
16,250,2048,24,200,256,2,643,3.9,51.3,31.25,62.79,10,586,7.1,70.9,0.58,0
32,125,10240,16,350,256,11,2342,10.0,44.6,42.97,80.05,9,2696,3.7,144.7,15.54,0
16,95,8192,48,200,128,4,2627,18.2,17.0,23.75,64.14,11,2295,14.0,57.5,13.13,0
24,95,8192,24,350,64,6,396,8.7,13.4,23.75,16.92,7,1507,6.1,42.4,0.72,0
16,180,4096,24,200,256,1,1768,1.6,69.3,11.25,86.33,8,1116,12.1,160.4,0.11,0
8,125,2048,24,300,512,3,434,5.8,210.9,46.88,63.57,2,475,5.9,31.0,16.99,0
24,125,10240,24,350,128,8,1408,1.8,47.1,41.67,48.13,12,6317,4.5,31.6,1.14,0
8,125,10240,8,350,64,3,4094,2.7,16.7,46.88,139.93,3,2921,1.9,8.9,18.56,0
8,95,8192,48,350,512,1,2081,27.8,169.9,11.88,88.91,2,2793,3.7,100.8,16.76,0
64,95,4096,8,300,128,11,365,2.2,46.1,16.33,26.73,17,991,0.6,6.8,4.04,0
8,125,10240,24,300,256,3,604,11.8,60.6,46.88,17.7,1,6250,3.5,69.4,10.09,0
64,125,10240,24,300,128,19,2275,5.9,40.3,37.11,66.65,22,1017,6.6,28.3,12.6,0
24,125,10240,48,200,128,3,2382,8.5,2.7,15.62,46.52,7,2112,4.9,8.7,3.1,0
24,125,4096,8,200,512,9,666,3.9,125.6,46.88,32.52,2,332,0.5,97.0,14.69,0
16,125,4096,48,200,256,0,597,3.0,34.3,0.0,29.15,4,458,3.5,74.9,5.42,0
32,125,2048,8,450,256,13,178,1.7,110.8,50.78,39.11,10,233,2.4,28.7,12.23,0
8,250,2048,48,300,256,1,614,18.8,146.9,31.25,89.94,3,172,5.1,18.4,1.09,0
24,125,2048,16,200,128,5,1402,4.5,26.4,26.04,136.91,5,262,4.6,12.2,12.33,0
16,180,10240,8,300,512,3,7428,3.0,106.9,33.75,217.62,10,965,1.4,130.8,0.85,0
24,95,8192,48,200,64,1,1678,6.0,10.7,3.96,40.97,6,1654,4.0,25.3,14.19,0
32,250,4096,48,200,512,11,674,6.9,26.7,85.94,32.91,3,709,10.6,104.6,1.83,0
64,95,4096,8,300,128,28,628,0.5,43.3,41.56,46.0,12,260,1.1,14.1,3.67,0
32,250,8192,8,200,512,1,1515,2.5,289.5,7.81,36.99,3,5077,0.5,69.3,19.6,0
64,180,10240,16,300,256,9,3981,7.2,68.7,25.31,116.63,4,1628,7.1,39.5,15.68,0
32,180,10240,8,200,128,9,2222,1.5,90.2,50.62,43.4,7,4392,3.0,19.0,11.45,0
24,250,2048,8,450,64,15,1045,5.1,12.5,156.25,229.61,4,418,0.8,32.5,6.03,0
16,250,2048,24,200,256,0,1673,2.1,68.2,0.0,163.38,8,231,3.6,32.1,14.0,0
8,250,2048,8,350,128,5,1324,3.4,25.3,156.25,226.27,2,143,1.0,12.1,18.81,0
16,125,4096,48,200,256,11,677,20.9,67.3,85.94,33.06,3,715,8.2,15.4,2.97,0
64,95,4096,8,350,128,11,2744,2.0,35.5,16.33,234.47,14,785,0.5,37.7,10.17,0
64,125,10240,24,300,128,16,8133,8.4,38.5,31.25,238.27,6,1098,5.7,68.5,8.08,0
8,250,2048,8,200,64,1,860,5.2,30.3,31.25,83.98,3,298,2.2,17.4,8.24,0
24,95,8192,8,300,64,5,704,1.0,9.1,19.79,25.78,3,1679,0.9,9.7,8.18,0
24,95,8192,48,200,64,14,3222,20.1,9.1,55.42,78.66,7,2221,24.7,14.6,9.48,0
64,125,10240,24,300,128,13,1910,1.1,4.0,25.39,55.96,18,2654,7.9,19.2,4.51,0
32,125,2048,8,450,256,5,383,2.8,54.2,19.53,84.16,17,714,0.9,83.8,6.32,0
16,180,2048,8,300,64,1,635,1.7,24.8,11.25,93.02,3,148,1.1,8.3,15.75,0
8,250,8192,48,200,128,1,1790,30.8,4.5,31.25,43.7,2,731,7.9,74.1,10.98,0
24,180,2048,8,300,64,1,771,1.2,25.4,7.5,112.94,5,668,0.7,14.1,10.07,0
32,180,4096,48,300,128,9,2119,17.9,54.8,50.62,155.2,7,349,10.8,31.0,10.41,0
16,95,8192,48,200,128,3,2016,22.7,76.5,17.81,49.22,3,1762,6.0,14.7,6.29,0
24,95,4096,16,300,64,7,1697,2.2,10.0,27.71,124.29,11,1537,0.9,6.1,9.88,0
16,180,4096,16,350,64,4,306,6.9,13.8,45.0,26.15,3,1221,3.5,12.1,2.32,0
16,250,2048,16,200,128,2,85,8.7,57.6,31.25,8.3,2,567,2.5,32.2,1.44,0
64,125,2048,24,450,512,18,929,3.3,183.5,35.16,204.13,9,123,1.6,45.3,6.28,0
8,250,8192,8,300,256,2,4526,2.6,14.1,62.5,165.75,3,2600,0.6,45.2,16.54,0
64,95,2048,24,450,64,34,1580,15.5,23.6,50.47,347.17,8,240,1.7,18.1,7.3,0
64,125,10240,48,200,64,3,2756,8.2,30.1,5.86,53.83,9,2250,5.3,7.2,7.76,0
8,95,2048,24,300,64,4,242,5.1,23.6,47.5,35.45,1,847,2.3,18.5,12.82,0
24,250,2048,8,450,64,8,209,5.2,13.2,83.33,45.92,8,1200,2.3,11.8,4.18,0
24,180,10240,24,450,64,6,2615,6.4,10.6,45.0,114.92,6,2308,9.5,3.3,10.5,0
16,95,2048,48,450,256,6,161,4.2,82.9,35.62,35.38,4,307,26.2,114.0,16.73,0
32,180,4096,16,450,512,3,386,5.2,66.4,16.88,42.41,8,1051,1.5,209.7,19.78,0
64,95,4096,48,350,512,7,2215,27.1,189.6,10.39,189.27,13,797,2.5,90.3,16.78,0
24,125,2048,24,300,512,11,971,3.2,128.3,57.29,142.24,3,766,5.2,82.6,19.81,0
8,95,8192,48,350,512,2,839,30.0,93.9,23.75,35.85,2,1349,8.0,83.4,2.83,0
16,125,8192,24,300,256,8,3298,4.3,94.3,62.5,120.78,4,895,10.7,70.5,15.11,0
32,95,10240,24,300,64,6,1341,7.2,19.0,17.81,39.29,4,2817,1.3,19.2,8.68,0
32,125,4096,24,200,64,8,95,17.4,10.2,31.25,4.64,13,757,3.0,37.0,3.01,0
16,95,10240,16,300,64,9,913,5.8,30.4,53.44,26.75,4,2142,5.6,24.3,3.62,0
24,95,2048,8,200,64,5,796,4.4,3.4,19.79,77.73,4,401,2.4,8.7,4.66,0
